seed,R_0,R_T,depletion,RT_pct_of_R0,ever_zero
42,500000.0,556344.390612388,-0.1126887812247761,111.26887812247762,False
43,500000.0,607208.9989452559,-0.21441799789051186,121.44179978905119,False
44,500000.0,187022.1453415832,0.6259557093168335,37.40442906831664,False
45,500000.0,317892.02890973893,0.3642159421805221,63.57840578194779,False
46,500000.0,82881.24583905634,0.8342375083218874,16.57624916781127,False
47,500000.0,348245.7558077628,0.3035084883844744,69.64915116155255,False
48,500000.0,141234.32396394326,0.7175313520721135,28.24686479278865,False
49,500000.0,453989.8565842638,0.09202028683147245,90.79797131685275,False
50,500000.0,551815.1487672258,-0.10363029753445163,110.36302975344516,False
51,500000.0,130874.49117457602,0.7382510176508479,26.174898234915204,False
52,500000.0,320548.4669300702,0.35890306613985956,64.10969338601404,False
53,500000.0,411561.27063524944,0.1768774587295011,82.31225412704988,False
54,500000.0,355433.6478436944,0.2891327043126113,71.08672956873887,False
55,500000.0,204637.87286726426,0.5907242542654715,40.92757457345285,False
56,500000.0,765546.0772823449,-0.5310921545646898,153.10921545646897,False
57,500000.0,753365.1001972669,-0.5067302003945338,150.67302003945338,False
58,500000.0,473832.0674447584,0.05233586511048327,94.76641348895167,False
59,500000.0,746609.0527562746,-0.4932181055125491,149.3218105512549,False
60,500000.0,589694.2976976405,-0.17938859539528096,117.9388595395281,False
61,500000.0,160373.35788473228,0.6792532842305354,32.07467157694646,False
62,500000.0,276264.2075894149,0.4474715848211702,55.25284151788298,False
63,500000.0,233918.20897275337,0.5321635820544932,46.783641794550675,False
64,500000.0,1290546.3921562855,-1.5810927843125708,258.1092784312571,False
65,500000.0,500851.7435072355,-0.0017034870144709835,100.1703487014471,False
66,500000.0,765090.8611672346,-0.5301817223344691,153.0181722334469,False
67,500000.0,239203.7909423082,0.5215924181153836,47.84075818846164,False
68,500000.0,728490.2542063107,-0.4569805084126215,145.69805084126216,False
69,500000.0,178585.90438936074,0.6428281912212785,35.71718087787215,False
70,500000.0,75471.90932580609,0.8490561813483878,15.09438186516122,False
71,500000.0,129541.32397456425,0.7409173520508715,25.90826479491285,False
